team,color,color2,color3,color4
ARI,#97233f,#000000,#ffb612,#a5acaf
ARZ,#97233f,#000000,#ffb612,#a5acaf
ATL,#a71930,#000000,#a5acaf,#a30d2d
BAL,#241773,#000000,#9e7c0c,#c60c30
BLT,#241773,#000000,#9e7c0c,#c60c30
BUF,#00338d,#c60c30,#0c2e82,#d50a0a
CAR,#0085ca,#000000,#bfc0bf,#0085ca
CHI,#0b162a,#c83803,#0b162a,#c83803
CIN,#000000,#fb4f14,#000000,#d32f1e
CLE,#fb4f14,#22150c,#a5acaf,#d32f1e
CLV,#fb4f14,#22150c,#a5acaf,#d32f1e
DAL,#002244,#b0b7bc,#acc0c6,#a5acaf
DEN,#002244,#fb4f14,#00234c,#ff5200
DET,#005a8b,#b0b7bc,#000000,#004e89
GB,#203731,#ffb612,#1c2d25,#eead1e
HOU,#03202f,#a71930,#00071c,#a30d2d
HST,#03202f,#a71930,#00071c,#a30d2d
IND,#002c5f,#a5acaf,#013369,#9ba1a2
JAX,#000000,#006778,#9f792c,#d7a22a
KC,#e31837,#ffb612,#000000,#e31837
LA,#002244,#b3995d,#001532,#af925d
LAC,#002244,#0073cf,#ffb612,#001532
LAR,#002244,#b3995d,#001532,#af925d
LV,#a5acaf,#000000,#a6aeb0,#000000
MIA,#008e97,#f58220,#005778,#008e97
MIN,#4f2683,#ffc62f,#e9bf9b,#000000
NE,#002244,#c60c30,#b0b7bc,#001532
NO,#9f8958,#000000,#9f8958,#000000
NYG,#0b2265,#a71930,#a5acaf,#012352
NYJ,#203731,#1c2d25,,
OAK,#a5acaf,#000000,#a6aeb0,#000000
PHI,#004953,#a5acaf,#acc0c6,#000000
PIT,#000000,#ffb612,#c60c30,#00539b
SD,#002244,#0073cf,#ffb612,#001532
SF,#aa0000,#b3995d,#000000,#a5acaf
SEA,#002244,#69be28,#a5acaf,#001532
STL,#002244,#b3995d,#001532,#af925d
TB,#d50a0a,#34302b,#000000,#ff7900
TEN,#002244,#4b92db,#c60c30,#a5acaf
WAS,#773141,#ffb612,#000000,#5b2b2f
